"Admin1" "Observation" "StdDev"
"ABIA" 1.32079831095001 0.258280336857021
"ADAMAWA" 0.627338276430819 0.202594509051552
"AKWA IBOM" 0.553264640330651 0.202005777103798
"ANAMBRA" 1.40421753855197 0.267485576137208
"BAUCHI" -0.595092181293458 0.168296931979185
"BAYELSA" 0.908092803272769 0.218748348978178
"BENUE" 0.5811009894835 0.23962845915597
"BORNO" -0.15923991524459 0.17854405512178
"CROSS RIVER" 0.577769710853316 0.330199059142092
"DELTA" 0.946299377928668 0.190151266810536
"EBONYI" 0.586404496446874 0.165149004357914
"EDO" 1.42578665488829 0.339027768415001
"EKITI" 1.84945533031752 0.384591396722763
"ENUGU" 1.33746239589218 0.367217461246222
"FCT ABUJA" 1.02480000096276 0.19230315266601
"GOMBE" -0.90493860599961 0.264543144883049
"IMO" 0.907946494795792 0.265597294165389
"JIGAWA" 0.218920665650374 0.156770444966364
"KADUNA" -0.304734721325487 0.191375744949517
"KANO" 0.243629711681377 0.147215790250747
"KATSINA" -0.637777516412737 0.203841347924443
"KEBBI" -0.724372168464121 0.183853307150544
"KOGI" -0.211455880564016 0.257791675556796
"KWARA" 0.0200256194591496 0.380693110677344
"LAGOS" 2.08656371745205 0.307375862895194
"NASARAWA" 0.623665306765128 0.280650358214609
"NIGER" -0.412728911908913 0.30982544060051
"OGUN" 0.0763047306295752 0.268571495217483
"ONDO" 0.843769478644318 0.303799387632829
"OSUN" 1.2445028512716 0.25716311055483
"OYO" 0.471959128905524 0.253585850231825
"PLATEAU" 0.514198654470994 0.184127302911793
"RIVERS" 0.966288747819291 0.24110334694844
"SOKOTO" -1.44789246895059 0.190040880097461
"TARABA" -0.371709304632351 0.164222554616603
"YOBE" -0.180864183029375 0.131396008522418
"ZAMFARA" -1.97668458444627 0.327442023293831
